"","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MoSold","YrSold","SaleType","SalePrice"
"28","Other",26,5858,"Pave","No Alley","IR1","Lvl","FR2","Gtl","NAmes","Norm","Norm","TwnhsE","1Story",1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No Exposure","GLQ",1051,"BLQ",0,354,1405,"GasA","Ex","Y","SB",1337,0,0,1337,1,0,2,0,2,1,"Gd",5,"Typ",1,"Fa","A",1999,"Fin",2,511,"TA","TA","Y",203,68,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",184000
"29","RM",21,1680,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"TA","TA","CBlock","TA","TA","No Exposure","Rec",156,"Unf",0,327,483,"GasA","TA","Y","SB",483,504,0,987,0,0,1,1,2,1,"TA",5,"Typ",0,"No Fireplace","D",1971,"Unf",1,264,"TA","TA","Y",275,0,0,0,0,0,"No Pool","No Fence","No Feature",2,2010,"Other",96000
"30","RM",21,1680,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"TA","TA","CBlock","TA","TA","No Exposure","Rec",300,"Unf",0,225,525,"GasA","TA","Y","SB",525,567,0,1092,0,0,1,1,3,1,"TA",6,"Typ",0,"No Fireplace","D",1997,"Unf",1,320,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",3,2010,"Warranty Deed",105500
"31","RM",21,1680,"Pave","No Alley","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",1971,1971,"Gable","CompShg","HdBoard","Other","BrkFace",381,"TA","TA","CBlock","TA","TA","No Exposure","Unf",0,"Unf",0,525,525,"GasA","TA","Y","SB",525,567,0,1092,0,0,1,1,3,1,"TA",6,"Typ",0,"No Fireplace","D",1971,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",3,2010,"Warranty Deed",88000
"32","RL",53,4043,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NPkVill","Norm","Norm","TwnhsE","1Story",1977,1977,"Gable","CompShg","Other","Other","None",0,"TA","TA","CBlock","Gd","TA","No Exposure","ALQ",360,"Unf",0,709,1069,"GasA","TA","Y","SB",1069,0,0,1069,0,0,2,0,2,1,"TA",4,"Typ",1,"Fa","A",1977,"RFn",2,440,"TA","TA","Y",0,55,0,0,165,0,"No Pool","No Fence","No Feature",7,2010,"Warranty Deed",127500
"33","RL",24,2280,"Pave","No Alley","Reg","Lvl","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",1975,1975,"Gable","CompShg","Other","Other","None",0,"TA","TA","CBlock","TA","TA","No Exposure","ALQ",514,"Unf",0,341,855,"GasA","TA","Y","SB",855,601,0,1456,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","A",1975,"Unf",2,440,"TA","TA","Y",173,0,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",149900
"34","RL",24,2280,"Pave","No Alley","Reg","Lvl","FR2","Gtl","NPkVill","Norm","Norm","Twnhs","1Story",1975,1975,"Gable","CompShg","Other","Other","None",0,"TA","TA","CBlock","Gd","TA","No Exposure","Unf",0,"Unf",0,836,836,"GasA","Ex","Y","SB",836,0,0,836,0,0,1,0,2,1,"TA",4,"Typ",0,"No Fireplace","A",1975,"Unf",1,308,"TA","TA","Y",0,30,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",120000
"35","RL",24,2280,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NPkVill","Norm","Norm","Twnhs","2Story",1978,1978,"Gable","CompShg","Other","Other","None",0,"TA","TA","CBlock","Gd","TA","No Exposure","ALQ",311,"Unf",0,544,855,"GasA","Fa","Y","SB",855,601,0,1456,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","A",1978,"Unf",2,440,"TA","TA","Y",26,0,0,0,0,0,"No Pool","No Fence","No Feature",7,2010,"Warranty Deed",146000
"36","RL",102,12858,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",162,"Ex","TA","PConc","Ex","TA","No Exposure","Unf",0,"Unf",0,1590,1590,"GasA","Ex","Y","SB",1627,707,0,2334,0,0,2,1,3,1,"Ex",10,"Typ",1,"Gd","A",2009,"Fin",3,751,"TA","TA","Y",144,133,0,0,0,0,"No Pool","No Fence","No Feature",1,2010,"New",376162
"37","RL",98,11478,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No Exposure","GLQ",1218,"Unf",0,486,1704,"GasA","Ex","Y","SB",1704,0,0,1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","A",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,"No Pool","No Fence","No Feature",5,2010,"Warranty Deed",306000
"38","RL",83,10159,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",2009,2010,"Hip","CompShg","VinylSd","VinylSd","Stone",450,"Ex","TA","PConc","Ex","TA","Av","GLQ",1646,"Unf",0,284,1930,"GasA","Ex","Y","SB",1940,0,0,1940,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","A",2010,"Fin",3,606,"TA","TA","Y",168,95,0,0,0,0,"No Pool","No Fence","No Feature",4,2010,"New",395192
"39","RL",94,12883,"Pave","No Alley","IR1","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",256,"Gd","TA","PConc","Gd","TA","No Exposure","Unf",0,"Unf",0,1544,1544,"GasA","Ex","Y","SB",1544,0,0,1544,0,0,2,0,3,1,"Gd",7,"Typ",0,"No Fireplace","A",2009,"RFn",3,868,"TA","TA","Y",0,35,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"New",290941
"40","RL",95,12182,"Pave","No Alley","Reg","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,"Gd","TA","PConc","Gd","TA","Mn","BLQ",1201,"Unf",0,340,1541,"GasA","Ex","Y","SB",1541,0,0,1541,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","A",2005,"RFn",2,532,"TA","TA","Y",0,70,0,0,0,0,"No Pool","No Fence","No Feature",5,2010,"New",220000
"41","RL",90,11520,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","PosN","Norm","1Fam","1Story",2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,"Gd","TA","PConc","Ex","TA","No Exposure","GLQ",110,"Unf",0,1588,1698,"GasA","Ex","Y","SB",1698,0,0,1698,0,0,2,0,3,1,"Ex",7,"Typ",1,"Gd","A",2005,"Fin",3,730,"TA","TA","Y",192,74,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",275000
"42","RL",79,14122,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",2005,2006,"Hip","CompShg","Other","Other","BrkFace",240,"Gd","TA","PConc","Ex","TA","No Exposure","GLQ",28,"Unf",0,1794,1822,"GasA","Ex","Y","SB",1822,0,0,1822,0,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","A",2005,"RFn",3,678,"TA","TA","Y",0,119,0,0,0,0,"No Pool","No Fence","No Feature",2,2010,"Warranty Deed",259000
"43","RL",70,10171,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story",2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",168,"Gd","TA","PConc","Gd","TA","No Exposure","GLQ",2,"Unf",0,1515,1517,"GasA","Ex","Y","SB",1535,0,0,1535,0,0,2,0,3,1,"Gd",7,"Typ",0,"No Fireplace","A",2004,"RFn",2,532,"TA","TA","Y",0,0,0,0,0,0,"No Pool","No Fence","No Feature",3,2010,"Warranty Deed",214000
"44","RL",44,6371,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",2009,2010,"Gable","CompShg","VinylSd","VinylSd","Stone",128,"Gd","TA","PConc","Gd","TA","Mn","GLQ",733,"Unf",0,625,1358,"GasA","Ex","Y","SB",1358,0,0,1358,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","A",2010,"RFn",2,484,"TA","TA","Y",192,35,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"New",224000
"45","RL",105,13650,"Pave","No Alley","Reg","Lvl","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story",2002,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",232,"Gd","TA","PConc","Gd","TA","Gd","GLQ",578,"Unf",0,1093,1671,"GasA","Ex","Y","SB",1687,563,0,2250,1,0,2,1,3,1,"Gd",7,"Typ",1,"Ex","A",2002,"Fin",3,756,"TA","TA","Y",238,130,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",320000
"46","RL",61,7658,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No Exposure","GLQ",456,"Unf",0,1296,1752,"GasA","Ex","Y","SB",1752,0,0,1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","A",2005,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,"No Pool","No Fence","No Feature",2,2010,"Warranty Deed",319900
"47","RL",41,7132,"Pave","No Alley","IR1","Lvl","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","TA","Mn","GLQ",24,"Unf",0,1346,1370,"GasA","Ex","Y","SB",1370,0,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","A",2006,"RFn",2,484,"TA","TA","Y",120,49,0,0,0,0,"No Pool","No Fence","No Feature",4,2010,"Warranty Deed",205000
"48","RL",36,2628,"Pave","No Alley","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",2003,2003,"Gable","CompShg","VinylSd","Other","Stone",106,"Gd","TA","PConc","Gd","TA","No Exposure","Unf",0,"Unf",0,764,764,"GasA","Ex","Y","SB",764,862,0,1626,0,0,2,1,2,1,"Gd",6,"Typ",0,"No Fireplace","BI",2003,"RFn",2,474,"TA","TA","Y",0,27,0,0,0,0,"No Pool","No Fence","No Feature",6,2010,"Warranty Deed",175500
"49","RL",100,18494,"Pave","No Alley","IR1","Lvl","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story",2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No Exposure","Unf",0,"Unf",0,1324,1324,"GasA","Ex","Y","SB",1324,0,0,1324,0,0,2,0,3,1,"Gd",6,"Typ",0,"No Fireplace","A",2005,"Fin",2,430,"TA","TA","Y",36,23,0,0,0,0,"No Pool","No Fence","No Feature",1,2010,"Warranty Deed",199500
